Word,pos,readability,lemma,diac
تَعاوُن,noun,1,تَعاوُن_1,تَعاوُنٍ
صَباح,noun,1,صَباح_1,صَباحَ
خَمْس,noun_num,1,خَمْس_1,خَمْسِ
فَصْل,noun,1,فَصْل_1,فَصْلِ
جُنْدِيّ,noun,1,جُنْدِيّ_1,جُنْدِيٍّ
مُشْكِلَة,noun,1,مُشْكِلَة_1,مُشْكِلَةِ
عَظِيم,adj,2,عَظِيم_1,عَظِيمٍ
شَبّ,noun,2,شَبّ-ِ_1,شَبَّ
أَلْقَى,verb,1,أَلْقَى_1,أَلْقَى
أَقَلّ,adj_comp,1,أَقَلّ_2,أَقَلُّ
أَوْضَح,verb,3,أَوْضَح_1,أَوْضَحَ
خارِج,noun,1,خارِج_1,خارِجَ
مُنَظَّمَة,noun,4,مُنَظَّمَة_1,مُنَظَّمَةٍ
تَقَدَّم,verb,3,تَقَدَّم_1,تَقَدَّمَ
قَلِيل,adj,1,قَلِيل_1,قَلِيلٌ
إِجْراء,noun,4,إِجْراء_1,إِجْراءُ
مُؤَسَّسَة,noun,4,مُؤَسَّسَة_1,مُؤَسَّسَةُ
دِفاع,noun,2,دِفاع_1,دِفاعِ
بِناء,noun,2,بِناء_1,بِناءِ
فَتْرَة,noun,1,فَتْرَة_1,فَتْرَةٍ
خادِم,noun,2,خادِم_1,خادِمِ
نِهايَة,noun,1,نِهايَة_1,نِهايَةِ
أَرْبَع,noun_num,1,أَرْبَع_1,أَرْبَعِ
حِجَّة,noun,1,حُجَّة_1,حُجَّةٍ
سِوَى,noun,4,سِوَى_1,سِوَى
أَزْمَة,noun,3,أَزْمَة_1,أَزْمَةٍ
رَسْمِيّ,adj,3,رَسْمِيّ_1,رَسْمِيِّ
فِعْل,noun,2,فِعْل_1,فِعْلٍ
وَلَد,noun,1,وَلَد_1,وَلَدٍ
صاح,verb,2,صاحِي_1,صاح
تَحَدَّث,verb,1,تَحَدَّث_1,تَحَدَّثَ
نَوَوِيّ,adj,4,نَوَوِيّ_1,نَوَوِيٍّ
أَرْسَل,verb,1,أَرْسَل_1,أَرْسَلَ
مَوْلَى,noun,2,مَوْلَى_2,مَوْلَى
ٱِمْرَأَة,noun,1,ٱِمْرَأَة_1,اِمْرَأَةً
تَقْرِير,noun,3,تَقْرِير_1,تَقْرِيرٍ
سِجْن,noun,1,سِجْن_1,سِجْنٍ
جَهْد,noun,4,جَهْد_1,جَهْدٍ
فَتْح,noun,1,فَتْح_1,فَتْحِ
سُؤال,noun,1,سُؤال_1,سُؤالٍ
قَتْل,noun,1,قَتَل-ُ_1,قُتِلَ
رَفَع,verb,1,رَفْع_1,رَفْعِ
أَمَل,noun,1,أَمَل_1,أَمَلِ
هَيْئَة,noun,4,هَيْئَة_1,هَيْئَةِ
سِلاح,noun,1,سِلاح_1,سِلاحٍ
فَتَح,verb,1,فَتْح_1,فَتْحٍ
قِبَل,noun,4,قَبْل_1,قَبْلَ
تارِيخ,noun,1,تارِيخ_1,تارِيخِ
مُدِير,noun,1,مُدِير_1,مُدِيرِ
حاجَة,noun,2,حاجَة_1,حاجَةِ
جَنُوب,noun,2,جَنُوب_1,جَنُوبِ
خَطَر,noun,1,خَطَر_1,خَطَرٍ
وَقْف,noun,3,وَقْف_1,وَقْفِ
ٱِنْتَهَى,verb,2,ٱِنْتَهَى_1,اِنْتَهَى
مُجْتَمَع,noun,2,مُجْتَمَع_1,مُجْتَمَعِ
دَعْم,noun,3,دَعْم_1,دَعْمِ
بُطُولَة,noun,1,بُطُولَة_1,بُطُولَةِ
فَضْل,noun,3,فَضْل_1,فَضْلٍ
ظَهَر,verb,2,ظَهْر_1,ظَهْرٍ
